City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Berlevag,NO,70.8578,29.0864,37.4,86,54,18.57,broken clouds
107,Sal Rei,CV,16.1833,-22.9167,73.6,64,75,19.57,broken clouds
108,Belen,TR,36.4891,36.2233,57.34,68,0,12.66,clear sky
109,Dikson,RU,73.5069,80.5464,-6.63,100,80,3.67,broken clouds
110,Zabaykalsk,RU,49.6333,117.3167,27.27,74,72,4.07,broken clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,74.08,96,75,17.0,light rain
112,Portland,US,45.5234,-122.6762,47.1,74,100,8.05,overcast clouds
113,Milkovo,RU,54.7167,158.6167,23.11,84,100,5.53,overcast clouds
114,Burnie,AU,-41.0667,145.9167,53.92,69,42,13.56,scattered clouds
115,Nemuro,JP,43.3236,145.575,37.06,87,94,9.31,overcast clouds
116,Kisangani,CD,0.5167,25.2,72.55,97,100,2.82,moderate rain
117,Praia,CV,14.9215,-23.5087,79.34,53,20,24.16,few clouds
118,Jamestown,US,42.097,-79.2353,38.52,57,100,13.8,overcast clouds
119,Lewistown,US,40.5992,-77.5714,44.15,77,100,8.05,overcast clouds
120,Meadville,US,41.6414,-80.1515,43.77,67,75,11.5,broken clouds
121,Geraldton,AU,-28.7667,114.6,64.81,88,75,10.36,broken clouds
122,Pokrovsk,UA,48.282,37.1758,54.91,57,99,8.19,overcast clouds
123,Vero Beach,US,27.6386,-80.3973,73.06,47,0,13.8,clear sky
124,Pangoa,PE,-12.1167,-73.0,86.38,51,92,5.12,overcast clouds
125,Flinders,AU,-34.5833,150.8552,65.48,91,29,8.01,scattered clouds
126,Gamba,GA,-2.65,10.0,77.56,88,100,5.19,overcast clouds
127,Ust-Barguzin,RU,53.45,108.9833,20.98,97,97,2.08,overcast clouds
128,Amuntai,ID,-2.4177,115.2494,73.27,98,100,1.52,overcast clouds
129,Cherskiy,RU,68.75,161.3,-15.47,100,100,2.77,overcast clouds
130,Georgetown,MY,5.4112,100.3354,82.33,93,20,0.0,few clouds
131,Saint George,US,37.1041,-113.5841,62.8,13,0,7.0,clear sky
132,Hithadhoo,MV,-0.6,73.0833,83.8,72,25,9.35,scattered clouds
133,Tiksi,RU,71.6872,128.8694,-14.98,100,100,0.51,overcast clouds
134,San Cristobal,VE,7.7669,-72.225,78.98,40,96,7.47,overcast clouds
135,Omboue,GA,-1.5746,9.2618,78.03,86,100,6.4,overcast clouds
136,Vostok,RU,46.4856,135.8833,29.44,95,85,5.01,overcast clouds
137,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,67,75,13.8,light rain
138,Yining,CN,29.0361,114.5636,67.69,71,2,1.83,clear sky
139,Zhanakorgan,KZ,43.9098,67.2495,75.24,32,100,16.44,overcast clouds
140,Chuy,UY,-33.6971,-53.4616,75.36,63,8,15.39,clear sky
141,Ilulissat,GL,69.2167,-51.1,21.22,53,75,3.44,broken clouds
142,Chester,US,40.1254,-75.8749,47.55,62,75,21.85,broken clouds
143,Mazagao,BR,-0.115,-51.2894,82.45,94,84,7.61,broken clouds
144,Eureka,US,40.8021,-124.1637,54.75,70,73,8.99,broken clouds
145,Atambua,ID,-9.1061,124.8925,71.47,88,44,3.56,scattered clouds
146,Komsomolskiy,UZ,40.4272,71.7189,68.72,60,94,2.3,overcast clouds
147,Aripuana,BR,-9.1667,-60.6333,91.08,50,100,1.19,overcast clouds
148,Wakiso,UG,0.4044,32.4594,67.1,85,80,2.1,broken clouds
149,Nikolskoye,RU,59.7035,30.7861,42.69,86,57,9.24,broken clouds
150,Bambanglipuro,ID,-7.95,110.2833,75.99,89,88,2.68,overcast clouds
151,Praya,CV,14.9215,-23.5087,79.34,53,20,24.16,few clouds
152,Kupang,ID,-10.1667,123.5833,76.17,86,3,5.1,clear sky
153,Nanakuli,US,21.3906,-158.1547,77.04,69,100,4.61,overcast clouds
154,Ponta Do Sol,PT,32.6667,-17.1,69.01,70,46,12.44,scattered clouds
155,Sabzevar,IR,36.2126,57.6819,61.88,45,20,23.02,few clouds
156,Manggar,ID,-2.8833,108.2667,78.73,84,98,2.89,overcast clouds
157,Saint-Augustin,CA,51.226,-58.6502,37.29,100,99,2.51,overcast clouds
